时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2005-01-04,二",2.13,2.14,2.08,2.12,-0.47%,2.70%,"301,105","1,244,141",0.183,171
"2005-01-05,三",2.12,2.18,2.12,2.17,2.36%,3.26%,"476,072",--,0.289,--
"2005-01-06,四",2.23,2.37,2.22,2.22,2.30%,7.13%,"4,359,851","19,470,834",2.65,1
"2005-01-07,五",2.2,2.25,2.17,2.21,-0.45%,3.35%,"1,422,816","6,128,374",0.864,586
"2005-01-10,一",2.2,2.24,2.2,2.22,0.45%,1.56%,"601,333","2,603,644",0.365,277
"2005-01-11,二",2.22,2.22,2.17,2.2,-0.90%,2.32%,"805,526","3,445,578",0.489,376
"2005-01-12,三",2.21,2.36,2.18,2.29,4.09%,8.34%,"4,231,285","18,952,373",2.57,873
"2005-01-13,四",2.26,2.33,2.21,2.28,-0.44%,5.26%,"2,464,707","10,867,202",1.5,696
"2005-01-14,五",2.28,2.3,2.23,2.24,-1.75%,3.02%,"721,542","3,165,527",0.438,354
"2005-01-17,一",2.2,2.21,2.12,2.14,-4.46%,4.11%,"1,237,671","5,232,645",0.751,490
"2005-01-18,二",2.14,2.21,2.14,2.2,2.80%,3.49%,"1,001,972","4,269,137",0.608,451
"2005-01-19,三",2.2,2.2,2.09,2.16,-1.82%,5.21%,"1,445,406","6,052,271",0.877,343
"2005-01-20,四",2.13,2.14,2.1,2.1,-2.78%,2.12%,"898,778","3,731,030",0.546,407
"2005-01-21,五",2.12,2.19,2.06,2.17,3.33%,6.28%,"1,277,458","5,340,368",0.775,434
"2005-01-24,一",2.22,2.26,2.18,2.24,3.23%,3.44%,"2,214,331","9,567,665",1.34,543
"2005-01-25,二",2.25,2.25,2.19,2.22,-0.89%,2.82%,"1,651,381","7,131,251",1,564
"2005-01-26,三",2.21,2.23,2.18,2.2,-0.90%,2.07%,"815,164","3,518,091",0.495,367
"2005-01-27,四",2.18,2.2,2.13,2.14,-2.73%,2.88%,"555,734","2,346,117",0.337,337
"2005-01-28,五",2.17,2.17,2.1,2.11,-1.40%,3.21%,"653,440","2,708,627",0.397,309
"2005-01-31,一",2.09,2.1,2.03,2.04,-3.32%,3.27%,"851,827","3,449,310",0.517,378
"2005-02-01,二",2.03,2.07,1.91,1.93,-5.39%,7.88%,"901,315","3,568,424",0.547,365
"2005-02-02,三",1.93,2.06,1.93,2.05,6.22%,6.85%,"1,711,239","6,698,033",1.04,617
"2005-02-03,四",2.05,2.07,1.99,1.99,-2.93%,3.93%,"945,596","3,772,492",0.574,466
"2005-02-04,五",2,2.07,1.99,2.05,3.02%,4.04%,"714,424","2,867,077",0.434,310
"2005-02-16,三",2.08,2.13,2.06,2.08,1.46%,3.09%,"737,400","3,035,262",0.448,317
"2005-02-17,四",2.06,2.09,2.06,2.09,0.48%,1.38%,"440,911","1,802,174",0.268,234
"2005-02-18,五",2.1,2.12,2.05,2.05,-1.91%,3.29%,"454,000","1,850,053",0.276,212
"2005-02-21,一",2.04,2.09,2.04,2.08,1.46%,2.52%,"458,366","1,870,187",0.278,231
"2005-02-22,二",2.09,2.18,2.08,2.16,3.85%,4.69%,"1,355,154","5,686,439",0.823,544
"2005-02-23,三",2.16,2.19,2.12,2.17,0.46%,3.46%,"1,337,512","5,655,411",0.812,526
"2005-02-24,四",2.17,2.18,2.13,2.17,0.00%,2.38%,"1,025,946","4,317,371",0.623,411
"2005-02-25,五",2.18,2.21,2.16,2.16,-0.46%,2.64%,"1,479,203","6,311,149",0.898,559
"2005-02-28,一",2.16,2.19,2.13,2.15,-0.46%,2.66%,"900,143","3,787,032",0.546,373
"2005-03-01,二",2.15,2.16,2.07,2.13,-0.93%,4.01%,"1,070,257","4,432,792",0.65,355
"2005-03-02,三",2.12,2.14,2.06,2.1,-1.41%,4.05%,"1,458,171","5,987,388",0.885,429
