时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2023-04-03,一",14.6,14.82,14.53,14.81,2.14%,2.00%,"19,800,333","291,165,080",2.69,24423
"2023-04-04,二",14.83,15.25,14.6,15.25,2.97%,4.39%,"33,556,424","504,514,560",4.56,38891
"2023-04-06,四",15.25,15.48,15.01,15.29,0.26%,3.08%,"29,384,729","449,610,250",3.99,29797
"2023-04-07,五",15.18,15.24,15,15.05,-1.57%,1.57%,"19,674,408","296,864,520",2.67,21475
"2023-04-10,一",15.85,15.98,15.06,15.14,0.60%,6.11%,"37,259,787","576,999,320",5.06,42855
"2023-04-11,二",15.04,15.04,14.5,14.66,-3.17%,3.57%,"24,704,410","362,844,720",3.36,28375
"2023-04-12,三",14.69,15.21,14.6,14.87,1.43%,4.16%,"20,571,812","306,641,130",2.79,25767
"2023-04-13,四",14.75,15.32,14.73,15.09,1.48%,3.97%,"26,267,085","395,633,170",3.57,31609
"2023-04-14,五",15,15.49,14.66,15.3,1.39%,5.50%,"30,212,450","455,419,300",4.1,36275
"2023-04-17,一",15.22,15.25,14.91,15.2,-0.65%,2.22%,"17,625,249","266,489,640",2.39,21411
"2023-04-18,二",15.15,15.35,15.04,15.24,0.26%,2.04%,"17,870,159","271,277,990",2.43,21910
"2023-04-19,三",15.35,15.35,14.71,14.71,-3.48%,4.20%,"22,273,517","333,314,700",3.03,24279
"2023-04-20,四",14.68,14.89,14.65,14.77,0.41%,1.63%,"13,979,622","206,064,810",1.9,16711
"2023-04-21,五",14.8,16.25,14.77,16.25,10.02%,10.02%,"88,427,445","1,413,942,800",12.01,74755
"2023-04-24,一",16.47,17.88,16.08,17.88,10.03%,11.08%,"135,937,600","2,319,806,500",18.46,131536
"2023-04-25,二",17.4,17.87,16.85,17.15,-4.08%,5.70%,"87,678,276","1,519,977,600",11.91,104586
"2023-04-26,三",17.15,18.87,17.15,18.6,8.45%,10.03%,"108,626,555","1,985,231,100",14.75,126966
"2023-04-27,四",18.38,20.46,17.87,20.46,10.00%,13.92%,"97,848,889","1,882,946,200",13.29,115400
"2023-04-28,五",21.59,22.35,19.9,21.09,3.08%,11.97%,"140,340,150","2,953,266,800",19.06,167956
"2023-05-04,四",21,23.2,21,22.92,8.68%,10.43%,"136,379,850","3,067,248,700",18.52,166379
"2023-05-05,五",22.49,25.21,22.35,25.21,9.99%,12.48%,"153,314,600","3,671,739,500",20.82,179195
